DATE, TIME, channel 1 (mBar), channel 2 (%O2), channel 3(%CO2), channel 4 (%O2), location, interval
2023-06-05,00:46:32.23,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:32.34,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:32.42,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:32.50,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:32.58,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:32.66,2.99,4.39,0.27,4.47,1,0
2023-06-05,00:46:32.74,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:32.82,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:32.90,2.99,4.39,0.27,4.47,1,0
2023-06-05,00:46:32.98,2.97,4.39,0.27,4.47,1,0
2023-06-05,00:46:33.06,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:33.14,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:33.22,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:33.30,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:33.38,2.98,4.39,0.26,4.47,1,0
2023-06-05,00:46:33.46,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:33.54,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:33.62,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:33.70,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:33.78,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:33.86,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:33.94,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:34.02,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:34.10,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:34.18,2.97,4.39,0.27,4.47,1,0
2023-06-05,00:46:34.26,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:34.34,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:34.42,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:34.50,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:34.58,2.97,4.39,0.27,4.47,1,0
2023-06-05,00:46:34.66,2.97,4.39,0.27,4.47,1,0
2023-06-05,00:46:34.74,2.97,4.39,0.27,4.47,1,0
2023-06-05,00:46:34.82,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:34.90,2.99,4.39,0.27,4.47,1,0
2023-06-05,00:46:34.98,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:35.06,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:35.14,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:35.22,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:35.30,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:35.38,2.97,4.39,0.27,4.47,1,0
2023-06-05,00:46:35.46,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:35.54,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:35.62,2.98,4.39,0.26,4.47,1,0
2023-06-05,00:46:35.70,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:35.78,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:35.86,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:35.94,2.98,4.39,0.26,4.47,1,0
2023-06-05,00:46:36.02,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:36.10,2.98,4.39,0.26,4.47,1,0
2023-06-05,00:46:36.18,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:36.26,2.98,4.39,0.26,4.47,1,0
2023-06-05,00:46:36.34,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:36.42,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:36.50,2.99,4.39,0.27,4.47,1,0
2023-06-05,00:46:36.58,2.98,4.39,0.27,4.47,1,0
2023-06-05,00:46:36.64,2.99,4.39,0.27,4.47,1,0
2023-06-05,00:46:36.73,2.98,4.39,0.27,4.47,1,0
